Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1047780,-,-,-,28.37,-80.74,-5,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,GHI
2013,1,1,0,30,16.6,0,0,0,0
2013,1,1,1,30,16.3,0,0,0,0
2013,1,1,2,30,16.1,0,0,1,0
2013,1,1,3,30,15.8,0,0,3,0
2013,1,1,4,30,15.600000000000001,0,0,1,0
2013,1,1,5,30,15.4,0,0,1,0
2013,1,1,6,30,15.4,0,0,1,0
2013,1,1,7,30,16.6,11,0,3,11
2013,1,1,8,30,18.5,73,0,3,73
2013,1,1,9,30,20.700000000000003,166,208,3,249
2013,1,1,10,30,22.3,211,360,2,399
2013,1,1,11,30,22.900000000000002,99,863,1,617
2013,1,1,12,30,23.400000000000002,258,400,2,508
2013,1,1,13,30,23.6,266,290,3,438
2013,1,1,14,30,23.700000000000003,211,332,2,381
2013,1,1,15,30,23.400000000000002,77,739,0,358
2013,1,1,16,30,22.200000000000003,55,552,0,172
2013,1,1,17,30,21,12,77,0,14
2013,1,1,18,30,20.6,0,0,0,0
2013,1,1,19,30,20.1,0,0,1,0
2013,1,1,20,30,19.8,0,0,3,0
2013,1,1,21,30,19.3,0,0,0,0
2013,1,1,22,30,18.6,0,0,0,0
2013,1,1,23,30,17.900000000000002,0,0,1,0
2013,1,2,0,30,17.3,0,0,1,0
2013,1,2,1,30,16.8,0,0,0,0
