Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,478473,-,-,-,39.77,-105.22,-7,1867,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,GHI,DHI,DNI
2013,1,1,0,30,-11.8,0,0,0,0
2013,1,1,1,30,-11.9,0,0,0,0
2013,1,1,2,30,-12.200000000000001,0,0,0,0
2013,1,1,3,30,-12.5,7,0,0,0
2013,1,1,4,30,-13,7,0,0,0
2013,1,1,5,30,-13.4,7,0,0,0
2013,1,1,6,30,-13.600000000000001,6,0,0,0
2013,1,1,7,30,-12.3,6,0,0,0
2013,1,1,8,30,-9.200000000000001,6,65,62,14
2013,1,1,9,30,-6.2,7,250,87,535
2013,1,1,10,30,-4.3,4,308,157,380
2013,1,1,11,30,-3.4000000000000004,0,511,65,989
2013,1,1,12,30,-3,0,516,64,994
2013,1,1,13,30,-2.9000000000000004,0,459,59,973
2013,1,1,14,30,-3.3000000000000003,0,345,51,916
2013,1,1,15,30,-4.7,0,194,37,806
2013,1,1,16,30,-5.800000000000001,0,32,15,438
2013,1,1,17,30,-8.1,1,0,0,0
2013,1,1,18,30,-9.1,1,0,0,0
2013,1,1,19,30,-9.8,1,0,0,0
2013,1,1,20,30,-10.200000000000001,0,0,0,0
2013,1,1,21,30,-10.5,1,0,0,0
2013,1,1,22,30,-10.200000000000001,7,0,0,0
2013,1,1,23,30,-9.4,7,0,0,0
